auction_number,accepted_amount_2nd_round,maturity_date,amount_to_central_bank,quantity_accepted_2nd_round,quantity_accepted,rate,auction_type,auction_date,accepted_amount,benchmark,quantity_tendered,bond_type,quantity_to_central_bank,settlement_date
253,"136009538,46",2017-07-01,0.0,177511,1000000,13.3689,Venda,2015-05-14,766203437.64,LTN 24 meses,1000000,LTN,0,2015-05-15
254,"703599915,96",2021-01-01,0.0,754650,3690000,12.8049,Venda,2015-05-14,3440381222.17,NTN-F 7 anos,4000000,NTN-F,0,2015-05-15
254,"337837672,43",2025-01-01,0.0,377321,1467050,12.735,Venda,2015-05-14,1313536107.67,NTN-F 10 anos,2000000,NTN-F,0,2015-05-15
253,"544725372,69",2019-01-01,0.0,847812,4500000,13.0439,Venda,2015-05-14,2891282709.62,LTN 48 meses,4500000,LTN,0,2015-05-15
258,-,2055-05-15,4908976475.182128,-,145850,5.97,Venda,2015-05-19,387013091.2,NTN-B 40 anos,500000,NTN-B,1850000,2015-05-20
258,-,2035-05-15,0.0,-,41700,6.0,Venda,2015-05-19,110095291.66,NTN-B 20 anos,500000,NTN-B,0,2015-05-20
258,"431756639,95",2023-05-15,0.0,167477,892400,6.38,Venda,2015-05-19,2300612176.87,NTN-B 10 anos,2500000,NTN-B,0,2015-05-20
258,"702234817,06",2019-05-15,0.0,271833,1455600,6.61,Venda,2015-05-19,3760297682.12,NTN-B 5 anos,2500000,NTN-B,0,2015-05-20
265,"968465749,08",2019-01-01,0.0,1493177,7500000,12.8246,Venda,2015-05-21,4864455530.94,LTN 48 meses,7500000,LTN,0,2015-05-22
265,"290970640,96",2017-07-01,0.0,377606,2000000,13.1969,Venda,2015-05-21,1541133568.55,LTN 24 meses,2000000,LTN,0,2015-05-22
265,"480058623,03",2016-04-01,0.0,536417,3000000,13.835,Venda,2015-05-21,2684806540.28,LTN 12 meses,3000000,LTN,0,2015-05-22
290,"516605937,2",2025-01-01,0.0,565419,3000000,12.42,Venda,2015-05-28,2741007663.0,NTN-F 10 anos,3000000,NTN-F,0,2015-05-29
290,"445287615,19",2021-01-01,0.0,471015,2500000,12.559,Venda,2015-05-28,2363447105.3,NTN-F 7 anos,2500000,NTN-F,0,2015-05-29
289,"365858026,93",2019-01-01,2471767573.8,562456,3000000,12.8,Venda,2015-05-28,1951395453.08,LTN 48 meses,3000000,LTN,3800000,2015-05-29
289,"129439611,13",2017-07-01,2550001294.5,167510,1000000,13.1789,Venda,2015-05-28,772727665.4,LTN 24 meses,1000000,LTN,3300000,2015-05-29
289,"640152776,79",2015-10-01,0.0,669313,4000000,13.78,Venda,2015-05-28,3825730425.99,LTN 6 meses,4000000,LTN,0,2015-05-29
292,"119654455,5",2023-05-15,0.0,45905,606100,6.28,Venda,2015-06-02,1579840224.13,NTN-B 10 anos,2000000,NTN-B,0,2015-06-03
292,-,2035-05-15,0.0,-,8400,5.99,Venda,2015-06-02,22310684.12,NTN-B 20 anos,300000,NTN-B,0,2015-06-03
292,0,2019-05-15,0.0,0,1139150,6.54,Venda,2015-06-02,2964717637.05,NTN-B 5 anos,2000000,NTN-B,0,2015-06-03
293,-,2035-05-15,0.0,-,10000,6.03,Compra,2015-06-02,26441406.67,NTN-B 20 anos,150000,NTN-B,0,2015-06-03
292,-,2055-05-15,0.0,-,59700,5.98,Venda,2015-06-02,158949525.48,NTN-B 40 anos,300000,NTN-B,0,2015-06-03
293,-,2045-05-15,0.0,-,0,0.0,Compra,2015-06-02,0.0,,150000,NTN-B,0,2015-06-03
293,-,2040-08-15,0.0,-,0,0.0,Compra,2015-06-02,0.0,,150000,NTN-B,0,2015-06-03
293,-,2055-05-15,0.0,-,0,0.0,Compra,2015-06-02,0.0,NTN-B 40 anos,150000,NTN-B,0,2015-06-03
293,-,2050-08-15,0.0,-,0,0.0,Compra,2015-06-02,0.0,,150000,NTN-B,0,2015-06-03
297,0,2016-04-01,0.0,0,3000000,13.9938,Venda,2015-06-03,2694097383.7,LTN 12 meses,3000000,LTN,0,2015-06-05
298,"270701654,81",2021-09-01,0.0,39427,1500000,0.0,Venda,2015-06-03,10298840997.05,LFT 6 anos,1500000,LFT,0,2015-06-05
297,"436643396,75",2019-01-01,0.0,671822,5000000,12.8939,Venda,2015-06-03,3249695579.18,LTN 48 meses,5000000,LTN,0,2015-06-05
297,0,2017-07-01,0.0,0,1500000,13.334,Venda,2015-06-03,1158052271.48,LTN 24 meses,1500000,LTN,0,2015-06-05
310,"131587022,31",2025-01-01,0.0,145459,1000000,12.7,Venda,2015-06-11,904633074.28,NTN-F 10 anos,1000000,NTN-F,0,2015-06-12
310,"140926406,84",2021-01-01,0.0,150000,2000000,12.8449,Venda,2015-06-11,1879018758.64,NTN-F 7 anos,2000000,NTN-F,0,2015-06-12
309,"207348740,47",2019-01-01,0.0,320796,3500000,13.146,Venda,2015-06-11,2262249503.4,LTN 48 meses,3500000,LTN,0,2015-06-12
309,0,2017-07-01,0.0,0,1500000,13.653,Venda,2015-06-11,1154357803.15,LTN 24 meses,1500000,LTN,0,2015-06-12
309,"505220685,38",2015-10-01,0.0,526194,5000000,14.0518,Venda,2015-06-11,4800707395.33,LTN 6 meses,5000000,LTN,0,2015-06-12
315,0,2055-05-15,0.0,0,51000,5.91,Venda,2015-06-16,138087744.22,NTN-B 40 anos,300000,NTN-B,0,2015-06-17
315,"15087618,45",2035-05-15,0.0,5682,126050,6.05,Venda,2015-06-16,334705087.52,NTN-B 20 anos,300000,NTN-B,0,2015-06-17
315,"265807223,17",2023-05-15,0.0,101979,715300,6.39,Venda,2015-06-16,1864422153.18,NTN-B 10 anos,2000000,NTN-B,0,2015-06-17
315,"505521313,63",2019-05-15,0.0,193973,1284700,6.6999,Venda,2015-06-16,3348111498.37,NTN-B 5 anos,2000000,NTN-B,0,2015-06-17
322,0,2019-01-01,0.0,0,6500000,13.1044,Venda,2015-06-18,4216600334.3,LTN 48 meses,6500000,LTN,0,2015-06-19
